rank,tier,title,year,authors,venue,doi,url,cited_by_count,relevance_score,relevance_tags,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,query_sources,abstract
330,landscape,"Carbon-Supported Pt-Based Alloy Electrocatalysts for the Oxygen Reduction Reaction in Polymer Electrolyte Membrane Fuel Cells: Particle Size, Shape, and Composition Manipulation and Their Impact to Activity",2015,Yan-Jie Wang; Nana Zhao; Baizeng Fang; Hui Li; Xiaotao T. Bi; Haijiang Wang,Chemical Reviews,https://doi.org/10.1021/cr500519c,https://doi.org/10.1021/cr500519c,1235,26.429,contact_rich_manipulation,"Addresses a contact-dynamics or embodied-control problem in Carbon-Supported Pt-Based Alloy Electrocatalysts for the Oxygen Reduction Reaction in Polymer Electrolyte Membrane Fuel Cells: Particle Size, Shape, and Composition Manipulation and Their Impact to Activity.",contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,
331,landscape,Psychobiotics and the Manipulation of Bacteria-Gut-Brain Signals,2016,Amar Sarkar; Soili M. Lehto; Siobhan Harty; Timothy G. Dinan; John F. Cryan; Philip W.J. Burnet,Trends in Neurosciences,https://doi.org/10.1016/j.tins.2016.09.002,https://doi.org/10.1016/j.tins.2016.09.002,951,26.288,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Psychobiotics and the Manipulation of Bacteria-Gut-Brain Signals.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
332,landscape,CTLA-4-Mediated Inhibition in Regulation of T Cell Responses: Mechanisms and Manipulation in Tumor Immunotherapy,2001,Cynthia A. Chambers; Michael S. Kuhns; Jackson G. Egen; James P. Allison,Annual Review of Immunology,https://doi.org/10.1146/annurev.immunol.19.1.565,https://doi.org/10.1146/annurev.immunol.19.1.565,803,26.284,contact_rich_manipulation; state_abstraction,The T cell compartment of adaptive immunity provides vertebrates with the potential to survey for and respond specifically to an incredible diversity of antigens.,contact-rich manipulation planner/controller; state abstraction or representation equivalence,the abstraction preserves the decision distinctions that matter; compressed contact variables remain Markov enough for the policy,reward/task equivalence; transition model granularity,aliased states can require disjoint feasible action sets; downstream repair may be impossible after control-relevant information is discarded,generic MDP abstractions and bisimulation-style reductions are established,a contact-specific compression test tied to feasible action intersections; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"The T cell compartment of adaptive immunity provides vertebrates with the potential to survey for and respond specifically to an incredible diversity of antigens. The T cell repertoire must be carefully regulated to prevent unwanted responses to self. In the periphery, one important level of regulation is the action of costimulatory signals in concert with T cell antigen-receptor (TCR) signals to promote full T cell activation. The past few years have revealed that costimulation is quite complex, involving an integration of activating signals and inhibitory signals from CD28 and CTLA-4 molecules, respectively, with TCR signals to determine the outcome of a T cell's encounter with antigen. Newly emerging data suggest that inhibitory signals mediated by CTLA-4 not only can determine whether T cells become activated, but also can play a role in regulating the clonal representation in a polyclonal response. This review primarily focuses on the cellular and molecular mechanisms of regulation by CTLA-4 and its manipulation as a strategy for tumor immunotherapy."
333,landscape,Genetic manipulation of lignin reduces recalcitrance and improves ethanol production from switchgrass,2011,Chunxiang Fu; Jonathan R. Mielenz; Xirong Xiao; Yaxin Ge; Choo Y. Hamilton; Miguel Rodriguez; Fang Chen; Marcus Foston,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.1100310108,https://doi.org/10.1073/pnas.1100310108,563,26.253,contact_rich_manipulation; hybrid_contact_control,"Switchgrass is a leading dedicated bioenergy feedstock in the United States because it is a native, high-yielding, perennial prairie grass with a broad cultivation range and low agronomic input requirements.",contact-rich manipulation planner/controller; explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,planar pushing manipulation controllability,"Switchgrass is a leading dedicated bioenergy feedstock in the United States because it is a native, high-yielding, perennial prairie grass with a broad cultivation range and low agronomic input requirements. Biomass conversion research has developed processes for production of ethanol and other biofuels, but they remain costly primarily because of the intrinsic recalcitrance of biomass. We show here that genetic modification of switchgrass can produce phenotypically normal plants that have reduced thermal-chemical (180 C), enzymatic, and microbial recalcitrance. Down-regulation of the switchgrass caffeic acid O -methyltransferase gene decreases lignin content modestly, reduces the syringyl:guaiacyl lignin monomer ratio, improves forage quality, and, most importantly, increases the ethanol yield by up to 38% using conventional biomass fermentation processes. The down-regulated lines require less severe pretreatment and 300-400% lower cellulase dosages for equivalent product yields using simultaneous saccharification and fermentation with yeast. Furthermore, fermentation of diluted acid-pretreated transgenic switchgrass using Clostridium thermocellum with no added enzymes showed better product yields than obtained with unmodified switchgrass. Therefore, this apparent reduction in the recalcitrance of transgenic switchgrass has the potential to lower processing costs for biomass fermentation-derived fuels and chemicals significantly. Alternatively, such modified transgenic switchgrass lines should yield significantly more fermentation chemicals per hectare under identical process conditions."
334,landscape,CRISPR-Based Technologies for the Manipulation of Eukaryotic Genomes,2017,Alexis C. Komor; Ahmed H. Badran; David R. Liu,Cell,https://doi.org/10.1016/j.cell.2016.10.044,https://doi.org/10.1016/j.cell.2016.10.044,763,26.208,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in CRISPR-Based Technologies for the Manipulation of Eukaryotic Genomes.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
335,landscape,ManTra-Net: Manipulation Tracing Network for Detection and Localization of Image Forgeries With Anomalous Features,2019,Yue Wu; Wael AbdAlmageed; Premkumar Natarajan,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),https://doi.org/10.1109/cvpr.2019.00977,https://doi.org/10.1109/cvpr.2019.00977,539,26.187,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in ManTra-Net: Manipulation Tracing Network for Detection and Localization of Image Forgeries With Anomalous Features.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,planar pushing manipulation controllability,
336,landscape,Mechanisms of NF-&amp;kappa;B p65 and strategies for therapeutic manipulation,2018,Sivagami Giridharan; Mythily Srinivasan,Journal of Inflammation Research,https://doi.org/10.2147/jir.s140188,https://doi.org/10.2147/jir.s140188,629,26.169,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Mechanisms of NF-&amp;kappa;B p65 and strategies for therapeutic manipulation.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
337,landscape,Atomic and Molecular Manipulation with the Scanning Tunneling Microscope,1991,Joseph A. Stroscio; D. M. Eigler,Science,https://doi.org/10.1126/science.254.5036.1319,https://doi.org/10.1126/science.254.5036.1319,872,26.158,contact_rich_manipulation,The prospect of manipulating matter on the atomic scale has fascinated scientists for decades.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"The prospect of manipulating matter on the atomic scale has fascinated scientists for decades. This fascination may be motivated by scientific and technological opportunities, or from a curiosity about the consequences of being able to place atoms in a particular location. Advances in scanning tunneling microscopy have made this prospect a reality; single atoms can be placed at selected positions and structures can be built to a particular design atom-by-atom. Atoms and molecules may be manipulated in a variety of ways by using the interactions present in the tunnel junction of a scanning tunneling microscope. Some of these recent developments and some of the possible uses of atomic and molecular manipulation as a tool for science are discussed."
338,landscape,Metacoder: An R package for visualization and manipulation of community taxonomic diversity data,2017,Zachary S. L. Foster; Thomas J. Sharpton; Niklaus J. Grunwald,PLOS Computational Biology,https://doi.org/10.1371/journal.pcbi.1005404,https://doi.org/10.1371/journal.pcbi.1005404,736,26.154,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Metacoder: An R package for visualization and manipulation of community taxonomic diversity data.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
339,landscape,Price manipulation in the Bitcoin ecosystem,2018,Neil Gandal; JT Hamrick; Tyler Moore; Tali Oberman,Journal of Monetary Economics,https://doi.org/10.1016/j.jmoneco.2017.12.004,https://doi.org/10.1016/j.jmoneco.2017.12.004,618,26.142,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Price manipulation in the Bitcoin ecosystem.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
340,landscape,Learning Rich Features for Image Manipulation Detection,2018,Peng Zhou; Xintong Han; Vlad I. Morariu; Larry S. Davis,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,https://doi.org/10.1109/cvpr.2018.00116,https://doi.org/10.1109/cvpr.2018.00116,614,26.132,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Learning Rich Features for Image Manipulation Detection.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
341,landscape,Instructional manipulation checks: Detecting satisficing to increase statistical power,2009,Daniel M. Oppenheimer; Tom Meyvis; Nicolas Davidenko,Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2009.03.009,https://doi.org/10.1016/j.jesp.2009.03.009,2708,26.107,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Instructional manipulation checks: Detecting satisficing to increase statistical power.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,
342,landscape,From computing with numbers to computing with words. From manipulation of measurements to manipulation of perceptions,1999,L.A. Zadeh,IEEE Transactions on Circuits and Systems I: Fundamental Theory and Applications,https://doi.org/10.1109/81.739259,https://doi.org/10.1109/81.739259,836,26.095,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in From computing with numbers to computing with words. From manipulation of measurements to manipulation of perceptions.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
343,landscape,"Normalization of Real-Time Quantitative Reverse Transcription-PCR Data: A Model-Based Variance Estimation Approach to Identify Genes Suited for Normalization, Applied to Bladder and Colon Cancer Data Sets",2004,Claus Lindbjerg Andersen; Jens Ledet Jensen; Torben Falck rntoft,Cancer Research,https://doi.org/10.1158/0008-5472.can-04-0496,https://doi.org/10.1158/0008-5472.can-04-0496,6181,26.094,hybrid_contact_control; simulation_models,Abstract Accurate normalization is an absolute prerequisite for correct measurement of gene expression.,explicit hybrid mode or complementarity formulation; contact simulator or differentiable dynamics model,contact modes are represented finely enough for control; simulation state variables are available at deployment granularity; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; learned compact states may fit prediction while destroying controllability; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,tactile contact state estimation manipulation,"Abstract Accurate normalization is an absolute prerequisite for correct measurement of gene expression. For quantitative real-time reverse transcription-PCR (RT-PCR), the most commonly used normalization strategy involves standardization to a single constitutively expressed control gene. However, in recent years, it has become clear that no single gene is constitutively expressed in all cell types and under all experimental conditions, implying that the expression stability of the intended control gene has to be verified before each experiment. We outline a novel, innovative, and robust strategy to identify stably expressed genes among a set of candidate normalization genes. The strategy is rooted in a mathematical model of gene expression that enables estimation not only of the overall variation of the candidate normalization genes but also of the variation between sample subgroups of the sample set. Notably, the strategy provides a direct measure for the estimated expression variation, enabling the user to evaluate the systematic error introduced when using the gene. In a side-by-side comparison with a previously published strategy, our model-based approach performed in a more robust manner and showed less sensitivity toward coregulation of the candidate normalization genes. We used the model-based strategy to identify genes suited to normalize quantitative RT-PCR data from colon cancer and bladder cancer. These genes are UBC, GAPD, and TPT1 for the colon and HSPCB, TEGT, and ATP5B for the bladder. The presented strategy can be applied to evaluate the suitability of any normalization gene candidate in any kind of experimental design and should allow more reliable normalization of RT-PCR data."
344,landscape,The Brain's Default Mode Network,2015,Marcus E. Raichle,Annual Review of Neuroscience,https://doi.org/10.1146/annurev-neuro-071013-014030,https://doi.org/10.1146/annurev-neuro-071013-014030,3584,26.027,hybrid_contact_control,"The brain's default mode network consists of discrete, bilateral and symmetrical cortical areas, in the medial and lateral parietal, medial prefrontal, and medial and lateral temporal cortices of the human, nonhuman primate, cat, and rodent brains.",explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,contact mode planning manipulation,"The brain's default mode network consists of discrete, bilateral and symmetrical cortical areas, in the medial and lateral parietal, medial prefrontal, and medial and lateral temporal cortices of the human, nonhuman primate, cat, and rodent brains. Its discovery was an unexpected consequence of brain-imaging studies first performed with positron emission tomography in which various novel, attention-demanding, and non-self-referential tasks were compared with quiet repose either with eyes closed or with simple visual fixation. The default mode network consistently decreases its activity when compared with activity during these relaxed nontask states. The discovery of the default mode network reignited a longstanding interest in the significance of the brain's ongoing or intrinsic activity. Presently, studies of the brain's intrinsic activity, popularly referred to as resting-state studies, have come to play a major role in studies of the human brain in health and disease. The brain's default mode network plays a central role in this work."
345,landscape,Global Disparities of Hypertension Prevalence and Control,2016,Katherine T. Mills; Joshua D. Bundy; Tanika N. Kelly; Jennifer E. Reed; Patricia M. Kearney; Kristi Reynolds; Jing Chen; Jiang He,Circulation,https://doi.org/10.1161/circulationaha.115.018912,https://doi.org/10.1161/circulationaha.115.018912,3010,26.015,general_robotics_contact,Background: Hypertension is the leading preventable cause of premature death worldwide.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,hybrid contact dynamics control robotics,"Background: Hypertension is the leading preventable cause of premature death worldwide. We examined global disparities of hypertension prevalence, awareness, treatment, and control in 2010 and compared secular changes from 2000 to 2010. Methods: We searched MEDLINE from 1995 through 2014 and supplemented with manual searches of retrieved article references. We included 135 population-based studies of 968 419 adults from 90 countries. Sex- and age-specific hypertension prevalences from each country were applied to population data to calculate regional and global numbers of hypertensive adults. Proportions of awareness, treatment, and control from each country were applied to hypertensive populations to obtain regional and global estimates. Results: In 2010, 31.1% (95% confidence interval, 30.0%-32.2%) of the world's adults had hypertension; 28.5% (27.3%-29.7%) in high-income countries and 31.5% (30.2%-32.9%) in low- and middle-income countries. An estimated 1.39 (1.34-1.44) billion people had hypertension in 2010: 349 (337-361) million in high-income countries and 1.04 (0.99-1.09) billion in low- and middle-income countries. From 2000 to 2010, the age-standardized prevalence of hypertension decreased by 2.6% in high-income countries, but increased by 7.7% in low- and middle-income countries. During the same period, the proportions of awareness (58.2% versus 67.0%), treatment (44.5% versus 55.6%), and control (17.9% versus 28.4%) increased substantially in high-income countries, whereas awareness (32.3% versus 37.9%) and treatment (24.9% versus 29.0%) increased less, and control (8.4% versus 7.7%) even slightly decreased in low- and middle-income countries. Conclusions: Global hypertension disparities are large and increasing. Collaborative efforts are urgently needed to combat the emerging hypertension burden in low- and middle-income countries."
346,landscape; hostile_prior,Scalable molecular dynamics on CPU and GPU architectures with NAMD,2020,James C. Phillips; David J. Hardy; Julio D. C. Maia; John E. Stone; Joao V. Ribeiro; Rafael C. Bernardi; Ronak Buch; Giacomo Fiorin,The Journal of Chemical Physics,https://doi.org/10.1063/5.0014475,https://doi.org/10.1063/5.0014475,2977,25.999,planar_pushing; hybrid_contact_control; simulation_models,NAMD is a molecular dynamics program designed for high-performance simulations of very large biological objects on CPU- and GPU-based architectures.,analytic or learned planar contact mechanics; explicit hybrid mode or complementarity formulation; contact simulator or differentiable dynamics model,contact modes are represented finely enough for control; local friction geometry is known or slowly varying; simulation state variables are available at deployment granularity; compressed contact variables remain Markov enough for the policy,object geometry; support friction; contact normal parameterization; mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; similar contact counts can have opposite useful push directions; learned compact states may fit prediction while destroying controllability; downstream repair may be impossible after control-relevant information is discarded,contact mechanics and pushing controllability are established; explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; minimal contact bits needed to preserve local task controllability; a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,"NAMD is a molecular dynamics program designed for high-performance simulations of very large biological objects on CPU- and GPU-based architectures. NAMD offers scalable performance on petascale parallel supercomputers consisting of hundreds of thousands of cores, as well as on inexpensive commodity clusters commonly found in academic environments. It is written in C++ and leans on Charm++ parallel objects for optimal performance on low-latency architectures. NAMD is a versatile, multipurpose code that gathers state-of-the-art algorithms to carry out simulations in apt thermodynamic ensembles, using the widely popular CHARMM, AMBER, OPLS, and GROMOS biomolecular force fields. Here, we review the main features of NAMD that allow both equilibrium and enhanced-sampling molecular dynamics simulations with numerical efficiency. We describe the underlying concepts utilized by NAMD and their implementation, most notably for handling long-range electrostatics; controlling the temperature, pressure, and pH; applying external potentials on tailored grids; leveraging massively parallel resources in multiple-copy simulations; and hybrid quantum-mechanical/molecular-mechanical descriptions. We detail the variety of options offered by NAMD for enhanced-sampling simulations aimed at determining free-energy differences of either alchemical or geometrical transformations and outline their applicability to specific problems. Last, we discuss the roadmap for the development of NAMD and our current efforts toward achieving optimal performance on GPU-based architectures, for pushing back the limitations that have prevented biologically realistic billion-atom objects to be fruitfully simulated, and for making large-scale simulations less expensive and easier to set up, run, and analyze. NAMD is distributed free of charge with its source code at www.ks.uiuc.edu."
347,landscape,Manipulation of the running variable in the regression discontinuity design: A density test,2008,Justin McCrary,Journal of Econometrics,https://doi.org/10.1016/j.jeconom.2007.05.005,https://doi.org/10.1016/j.jeconom.2007.05.005,2942,25.981,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Manipulation of the running variable in the regression discontinuity design: A density test.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,
348,landscape,Manipulation of Persistent Free Radicals in Biochar To Activate Persulfate for Contaminant Degradation,2015,Guodong Fang; Cun Liu; Juan Gao; Dionysios D. Dionysiou; Dongmei Zhou,Environmental Science &amp; Technology,https://doi.org/10.1021/es5061512,https://doi.org/10.1021/es5061512,866,25.898,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Manipulation of Persistent Free Radicals in Biochar To Activate Persulfate for Contaminant Degradation.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
349,landscape,Earnings management through real activities manipulation,2006,Sugata Roychowdhury,Journal of Accounting and Economics,https://doi.org/10.1016/j.jacceco.2006.01.002,https://doi.org/10.1016/j.jacceco.2006.01.002,3882,25.897,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Earnings management through real activities manipulation.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,
350,landscape,Culture and establishment of self-renewing human and mouse adult liver and pancreas 3D organoids and their genetic manipulation,2016,Laura Broutier; Amanda Andersson-Rolf; Christopher J Hindley; Sylvia F Boj; Hans Clevers; Bon-Kyoung Koo; Meritxell Huch,Nature Protocols,https://doi.org/10.1038/nprot.2016.097,https://doi.org/10.1038/nprot.2016.097,726,25.883,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Culture and establishment of self-renewing human and mouse adult liver and pancreas 3D organoids and their genetic manipulation.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
351,landscape,Constrained Convolutional Neural Networks: A New Approach Towards General Purpose Image Manipulation Detection,2018,Belhassen Bayar; Matthew C. Stamm,IEEE Transactions on Information Forensics and Security,https://doi.org/10.1109/tifs.2018.2825953,https://doi.org/10.1109/tifs.2018.2825953,517,25.875,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Constrained Convolutional Neural Networks: A New Approach Towards General Purpose Image Manipulation Detection.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,planar pushing manipulation controllability,
352,landscape,"Optical manipulation from the microscale to the nanoscale: fundamentals, advances and prospects",2017,Dongliang Gao; Weiqiang Ding; Manuel Nieto-Vesperinas; Xumin Ding; Mahdy Rahman; Tianhang Zhang; ChweeTeck Lim; Cheng-Wei Qiu,Light: Science &amp; Applications,https://doi.org/10.1038/lsa.2017.39,https://doi.org/10.1038/lsa.2017.39,588,25.818,contact_rich_manipulation,"Addresses a contact-dynamics or embodied-control problem in Optical manipulation from the microscale to the nanoscale: fundamentals, advances and prospects.",contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,planar pushing manipulation controllability,
353,landscape,A robust layered control system for a mobile robot,1986,R. Brooks,IEEE Journal on Robotics and Automation,https://doi.org/10.1109/jra.1986.1087032,https://doi.org/10.1109/jra.1986.1087032,4784,25.71,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in A robust layered control system for a mobile robot.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
354,landscape,Numerical Simulation of Mixed-Mode Progressive Delamination in Composite Materials,2003,P. P. Camanho; C. G. Davila; M. F. de Moura,Journal of Composite Materials,https://doi.org/10.1177/0021998303034505,https://doi.org/10.1177/0021998303034505,1474,25.695,hybrid_contact_control; simulation_models,A new decohesion element with the capability of dealing with crack propagation under mixed-mode loading is proposed and demonstrated.,explicit hybrid mode or complementarity formulation; contact simulator or differentiable dynamics model,contact modes are represented finely enough for control; simulation state variables are available at deployment granularity; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; learned compact states may fit prediction while destroying controllability; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,contact mode planning manipulation,"A new decohesion element with the capability of dealing with crack propagation under mixed-mode loading is proposed and demonstrated. The element is used at the interface between solid finite elements to model the initiation and non-self-similar growth of delaminations in composite materials. A single relative displacement-based damage parameter is applied in a softening law to track the damage state of the interface and to prevent the restoration of the cohesive state during unloading. The softening law is applied in the three-parameter Benzeggagh-Kenane mode interaction criterion to predict mixed-mode delamination propagation. To demonstrate the accuracy of the predictions, steady-state delamination growth is simulated for quasi-static loading of various single mode and mixed-mode delamination test specimens and the results are compared with experimental data."
355,landscape,Ultrafast optical manipulation of magnetic order,2010,Andrei Kirilyuk; Alexey V. Kimel; Theo Rasing,Reviews of Modern Physics,https://doi.org/10.1103/revmodphys.82.2731,https://doi.org/10.1103/revmodphys.82.2731,1738,25.692,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in Ultrafast optical manipulation of magnetic order.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,
356,landscape,A Deep Learning Approach to Universal Image Manipulation Detection Using a New Convolutional Layer,2016,Belhassen Bayar; Matthew C. Stamm,Proceedings of the 4th ACM Workshop on Information Hiding and Multimedia Security,https://doi.org/10.1145/2909827.2930786,https://doi.org/10.1145/2909827.2930786,630,25.671,contact_rich_manipulation,Addresses a contact-dynamics or embodied-control problem in A Deep Learning Approach to Universal Image Manipulation Detection Using a New Convolutional Layer.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,
357,landscape,Continuum Robots for Medical Applications: A Survey,2015,Jessica Burgner-Kahrs; D. Caleb Rucker; Howie Choset,IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2015.2489500,https://doi.org/10.1109/tro.2015.2489500,1392,25.609,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Continuum Robots for Medical Applications: A Survey.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,
